Authors,Year,title,DOI,Filter_3,Approach,Subapproach,temperature,growth_rate,vi,n_1,order,family,genus,species,feeding_guild,h_p_family,diet_family,RH,daylength,lat,lon,sd_treat,id,sd_median
"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N",2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,yes,experimental,laboratory,10,0.0256,0.0033,40,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,Solanaceae,Solanaceae,60,16,42.6391,2.98067,0.020871032557111306,1,0.04990074147745703
"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N",2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,yes,experimental,laboratory,15,0.0533,0.0041,40,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,Solanaceae,Solanaceae,60,16,42.6391,2.98067,0.025930676813380713,1,0.04990074147745703
"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N",2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,yes,experimental,laboratory,20,0.0816,0.00458,40,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,Solanaceae,Solanaceae,60,16,42.6391,2.98067,0.028966463367142356,1,0.04990074147745703
"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N",2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,yes,experimental,laboratory,25,0.1432,0.0117,40,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,Solanaceae,Solanaceae,60,16,42.6391,2.98067,0.07399729724794009,1,0.04990074147745703
"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N",2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,yes,experimental,laboratory,30,0.0979,0.0112,40,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,Solanaceae,Solanaceae,60,16,42.6391,2.98067,0.0708350195877717,1,0.04990074147745703
"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N",2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,yes,experimental,laboratory,33,0.0521,0.0269,40,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,Solanaceae,Solanaceae,60,16,42.6391,2.98067,0.17013053811705883,1,0.04990074147745703
"Li, WB; Gao, Y; Cui, J; Shi, SS",2020,Effects of Temperature on the Development and Fecundity of Atractomorpha Sinensis (Orthoptera: Pyrgomorphidae),10.1093/jee/toaa145,yes,experimental,laboratory,16,0.0143,9e-4,28,Orthoptera,Pyrgomorphidae,Atractomorpha,sinensis,chewer,Fabaceae,Fabaceae,70,16,36.67087,116.98538,0.0047623523599162635,2,0.010954451150103323
"Li, WB; Gao, Y; Cui, J; Shi, SS",2020,Effects of Temperature on the Development and Fecundity of Atractomorpha Sinensis (Orthoptera: Pyrgomorphidae),10.1093/jee/toaa145,yes,experimental,laboratory,20,0.0243,0.0012,36,Orthoptera,Pyrgomorphidae,Atractomorpha,sinensis,chewer,Fabaceae,Fabaceae,70,16,36.67087,116.98538,0.0072,2,0.010954451150103323
"Li, WB; Gao, Y; Cui, J; Shi, SS",2020,Effects of Temperature on the Development and Fecundity of Atractomorpha Sinensis (Orthoptera: Pyrgomorphidae),10.1093/jee/toaa145,yes,experimental,laboratory,24,0.0428,0.002,30,Orthoptera,Pyrgomorphidae,Atractomorpha,sinensis,chewer,Fabaceae,Fabaceae,70,16,36.67087,116.98538,0.010954451150103323,2,0.010954451150103323
"Li, WB; Gao, Y; Cui, J; Shi, SS",2020,Effects of Temperature on the Development and Fecundity of Atractomorpha Sinensis (Orthoptera: Pyrgomorphidae),10.1093/jee/toaa145,yes,experimental,laboratory,28,0.0476,0.0028,20,Orthoptera,Pyrgomorphidae,Atractomorpha,sinensis,chewer,Fabaceae,Fabaceae,70,16,36.67087,116.98538,0.012521980673998822,2,0.010954451150103323
