A,n,Authors,Abstract,Filter,Approach,Subapproach,Lab_response,temperature,growth_rate,error,equation,error_method,n_1,X16,order,family,genus,species,feeding_guild,host_plant,h_p_family,diet,diet_family,RH,Filter_3,daylength,population_source,lat,lon,observations,DOI,Source Title,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,X20,ISSN,eISSN,Year,X48,UT (Unique WOS ID),title
J,1,"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N","The South American tomato pinworm,Tuta absoluta, (SATP) is now a devastating pest worldwide of crops in the family Solanaceae. Most prior studies of SATP's thermal biology were based on populations from tropical regions, and proved unsuitable for explaining its invasion of large areas of the Palearctic. A more holistic approach to the analysis of its thermal biology is essential background for developing models to assess its invasive potential. Our studies found that SATP has lower and upper thermal thresholds(theta(L) = 5.37 degrees C and theta(U)= 35.69 degrees C, respectively) than South American populations used in prior studies (theta(L)= 7.38 degrees C and theta(U)= 33.82 degrees C). Age-specific life tables were used to estimate the effects of temperature on its demographic parameters. Diapause in SATP had not been characterized prior to our study. We found facultative diapause in pupae developing from larvae exposed to relatively low temperatures (i.e., 2 and 5 degrees C) and short-day length for different exposure periods. The strength of diapause was measured as an increase in post-treatment developmental times of pupae (i.e., degree days) that on average were 2.45-3-fold greater than of pupae reared at favorable temperatures. A lower developmental threshold and a facultative diapause increase the invasive potential of SATP in temperate areas. Knowledge of this thermal biology is essential for predicting the potential geographic spread of this pest and to develop management and control strategies.",yes,experimental,laboratory,rm,10,0.0256,0.0033,Euler-Lotka,bootstrap,40,n hembras,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,tomato,Solanaceae,tomato,Solanaceae,60,yes,16,Alenya (France),42.6391,2.98067,40 replicates x 3 larvae,10.1007/s10340-020-01286-8,JOURNAL OF PEST SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612-4758,1612-4766,NA,NA,WOS:000575746900001,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause
J,0,"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N","The South American tomato pinworm,Tuta absoluta, (SATP) is now a devastating pest worldwide of crops in the family Solanaceae. Most prior studies of SATP's thermal biology were based on populations from tropical regions, and proved unsuitable for explaining its invasion of large areas of the Palearctic. A more holistic approach to the analysis of its thermal biology is essential background for developing models to assess its invasive potential. Our studies found that SATP has lower and upper thermal thresholds(theta(L) = 5.37 degrees C and theta(U)= 35.69 degrees C, respectively) than South American populations used in prior studies (theta(L)= 7.38 degrees C and theta(U)= 33.82 degrees C). Age-specific life tables were used to estimate the effects of temperature on its demographic parameters. Diapause in SATP had not been characterized prior to our study. We found facultative diapause in pupae developing from larvae exposed to relatively low temperatures (i.e., 2 and 5 degrees C) and short-day length for different exposure periods. The strength of diapause was measured as an increase in post-treatment developmental times of pupae (i.e., degree days) that on average were 2.45-3-fold greater than of pupae reared at favorable temperatures. A lower developmental threshold and a facultative diapause increase the invasive potential of SATP in temperate areas. Knowledge of this thermal biology is essential for predicting the potential geographic spread of this pest and to develop management and control strategies.",yes,experimental,laboratory,rm,15,0.0533,0.0041,Euler-Lotka,bootstrap,40,n hembras,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,tomato,Solanaceae,tomato,Solanaceae,60,yes,16,Alenya (France),42.6391,2.98067,40 replicates x 3 larvae,10.1007/s10340-020-01286-8,JOURNAL OF PEST SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612-4758,1612-4766,NA,NA,WOS:000575746900001,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause
J,0,"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N","The South American tomato pinworm,Tuta absoluta, (SATP) is now a devastating pest worldwide of crops in the family Solanaceae. Most prior studies of SATP's thermal biology were based on populations from tropical regions, and proved unsuitable for explaining its invasion of large areas of the Palearctic. A more holistic approach to the analysis of its thermal biology is essential background for developing models to assess its invasive potential. Our studies found that SATP has lower and upper thermal thresholds(theta(L) = 5.37 degrees C and theta(U)= 35.69 degrees C, respectively) than South American populations used in prior studies (theta(L)= 7.38 degrees C and theta(U)= 33.82 degrees C). Age-specific life tables were used to estimate the effects of temperature on its demographic parameters. Diapause in SATP had not been characterized prior to our study. We found facultative diapause in pupae developing from larvae exposed to relatively low temperatures (i.e., 2 and 5 degrees C) and short-day length for different exposure periods. The strength of diapause was measured as an increase in post-treatment developmental times of pupae (i.e., degree days) that on average were 2.45-3-fold greater than of pupae reared at favorable temperatures. A lower developmental threshold and a facultative diapause increase the invasive potential of SATP in temperate areas. Knowledge of this thermal biology is essential for predicting the potential geographic spread of this pest and to develop management and control strategies.",yes,experimental,laboratory,rm,20,0.0816,0.00458,Euler-Lotka,bootstrap,40,n hembras,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,tomato,Solanaceae,tomato,Solanaceae,60,yes,16,Alenya (France),42.6391,2.98067,40 replicates x 3 larvae,10.1007/s10340-020-01286-8,JOURNAL OF PEST SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612-4758,1612-4766,NA,NA,WOS:000575746900001,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause
J,0,"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N","The South American tomato pinworm,Tuta absoluta, (SATP) is now a devastating pest worldwide of crops in the family Solanaceae. Most prior studies of SATP's thermal biology were based on populations from tropical regions, and proved unsuitable for explaining its invasion of large areas of the Palearctic. A more holistic approach to the analysis of its thermal biology is essential background for developing models to assess its invasive potential. Our studies found that SATP has lower and upper thermal thresholds(theta(L) = 5.37 degrees C and theta(U)= 35.69 degrees C, respectively) than South American populations used in prior studies (theta(L)= 7.38 degrees C and theta(U)= 33.82 degrees C). Age-specific life tables were used to estimate the effects of temperature on its demographic parameters. Diapause in SATP had not been characterized prior to our study. We found facultative diapause in pupae developing from larvae exposed to relatively low temperatures (i.e., 2 and 5 degrees C) and short-day length for different exposure periods. The strength of diapause was measured as an increase in post-treatment developmental times of pupae (i.e., degree days) that on average were 2.45-3-fold greater than of pupae reared at favorable temperatures. A lower developmental threshold and a facultative diapause increase the invasive potential of SATP in temperate areas. Knowledge of this thermal biology is essential for predicting the potential geographic spread of this pest and to develop management and control strategies.",yes,experimental,laboratory,rm,25,0.1432,0.0117,Euler-Lotka,bootstrap,40,n hembras,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,tomato,Solanaceae,tomato,Solanaceae,60,yes,16,Alenya (France),42.6391,2.98067,40 replicates x 3 larvae,10.1007/s10340-020-01286-8,JOURNAL OF PEST SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612-4758,1612-4766,NA,NA,WOS:000575746900001,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause
J,0,"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N","The South American tomato pinworm,Tuta absoluta, (SATP) is now a devastating pest worldwide of crops in the family Solanaceae. Most prior studies of SATP's thermal biology were based on populations from tropical regions, and proved unsuitable for explaining its invasion of large areas of the Palearctic. A more holistic approach to the analysis of its thermal biology is essential background for developing models to assess its invasive potential. Our studies found that SATP has lower and upper thermal thresholds(theta(L) = 5.37 degrees C and theta(U)= 35.69 degrees C, respectively) than South American populations used in prior studies (theta(L)= 7.38 degrees C and theta(U)= 33.82 degrees C). Age-specific life tables were used to estimate the effects of temperature on its demographic parameters. Diapause in SATP had not been characterized prior to our study. We found facultative diapause in pupae developing from larvae exposed to relatively low temperatures (i.e., 2 and 5 degrees C) and short-day length for different exposure periods. The strength of diapause was measured as an increase in post-treatment developmental times of pupae (i.e., degree days) that on average were 2.45-3-fold greater than of pupae reared at favorable temperatures. A lower developmental threshold and a facultative diapause increase the invasive potential of SATP in temperate areas. Knowledge of this thermal biology is essential for predicting the potential geographic spread of this pest and to develop management and control strategies.",yes,experimental,laboratory,rm,30,0.0979,0.0112,Euler-Lotka,bootstrap,40,n hembras,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,tomato,Solanaceae,tomato,Solanaceae,60,yes,16,Alenya (France),42.6391,2.98067,40 replicates x 3 larvae,10.1007/s10340-020-01286-8,JOURNAL OF PEST SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612-4758,1612-4766,NA,NA,WOS:000575746900001,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause
J,0,"de Campos, MR; Bearez, P; Amiens-Desneux, E; Ponti, L; Gutierrez, AP; Biondi, A; Adiga, A; Desneux, N","The South American tomato pinworm,Tuta absoluta, (SATP) is now a devastating pest worldwide of crops in the family Solanaceae. Most prior studies of SATP's thermal biology were based on populations from tropical regions, and proved unsuitable for explaining its invasion of large areas of the Palearctic. A more holistic approach to the analysis of its thermal biology is essential background for developing models to assess its invasive potential. Our studies found that SATP has lower and upper thermal thresholds(theta(L) = 5.37 degrees C and theta(U)= 35.69 degrees C, respectively) than South American populations used in prior studies (theta(L)= 7.38 degrees C and theta(U)= 33.82 degrees C). Age-specific life tables were used to estimate the effects of temperature on its demographic parameters. Diapause in SATP had not been characterized prior to our study. We found facultative diapause in pupae developing from larvae exposed to relatively low temperatures (i.e., 2 and 5 degrees C) and short-day length for different exposure periods. The strength of diapause was measured as an increase in post-treatment developmental times of pupae (i.e., degree days) that on average were 2.45-3-fold greater than of pupae reared at favorable temperatures. A lower developmental threshold and a facultative diapause increase the invasive potential of SATP in temperate areas. Knowledge of this thermal biology is essential for predicting the potential geographic spread of this pest and to develop management and control strategies.",yes,experimental,laboratory,rm,33,0.0521,0.0269,Euler-Lotka,bootstrap,40,n hembras,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,tomato,Solanaceae,tomato,Solanaceae,60,yes,16,Alenya (France),42.6391,2.98067,40 replicates x 3 larvae,10.1007/s10340-020-01286-8,JOURNAL OF PEST SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1612-4758,1612-4766,NA,NA,WOS:000575746900001,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause
J,1,"Li, WB; Gao, Y; Cui, J; Shi, SS","Over the recent years, Atractomorpha sinensis I. Bolivar, has emerged as an important agricultural pest in China. However, the biological characteristics of A. sinensis remain largely unknown, which can hinder the prediction of its population dynamics.Thus, understanding the impact of temperature on the developmental period of A. sinensis is crucial to predict its population dynamics. The biological characteristics of A sinensis were systematically observed at five different temperatures (16, 20, 24, 28, and 32 degrees C) using the age-stage, two-sex life table method.The results demonstrated that the developmental period, preadult time, adult longevity, adult preoviposition period, and total preoviposition period were significantly reduced when the temperature was elevated from 16 to 32 degrees C. The developmental threshold temperatures of egg, nymph, preoviposition period, female adult, male adult, and generation were 9.14, 10.44, 12.53, 10.97, 12.47, and 10.58 degrees C, respectively, with the corresponding effective accumulated temperatures of 452.31, 575.99, 169.58, 528.13, 340.81, and 1447.95 degree-days.With an increase in temperature, the intrinsic rate of increase (r) and finite rate of increase (lambda) were increased, while the mean generation time (T) was shortened. The optimal values of net reproductive rate (R-0 = 73.00 offspring) and fecundity (244.55 eggs) were determined at 24 degrees C. Similarly, the population trend index (l) of A sinensis was found to be highest at 24 degrees C. Our findings indicate that A. sinensis has the greatest rate of population growth at 24 degrees C, which can provide a scientific basis for predicting the in-field population dynamics of A. sinensis.",yes,experimental,laboratory,rm,16,0.0143,9e-4,Euler-Lotka,bootstrap,28,NA,Orthoptera,Pyrgomorphidae,Atractomorpha,sinensis,chewer,soybean,Fabaceae,bean,Fabaceae,70,yes,16,Jinan (China),36.67087,116.98538,NA,10.1093/jee/toaa145,JOURNAL OF ECONOMIC ENTOMOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0022-0493,1938-291X,2020,NA,WOS:000593071900055,Effects of Temperature on the Development and Fecundity of Atractomorpha Sinensis (Orthoptera: Pyrgomorphidae)
J,1,"Li, WB; Gao, Y; Cui, J; Shi, SS","Over the recent years, Atractomorpha sinensis I. Bolivar, has emerged as an important agricultural pest in China. However, the biological characteristics of A. sinensis remain largely unknown, which can hinder the prediction of its population dynamics.Thus, understanding the impact of temperature on the developmental period of A. sinensis is crucial to predict its population dynamics. The biological characteristics of A sinensis were systematically observed at five different temperatures (16, 20, 24, 28, and 32 degrees C) using the age-stage, two-sex life table method.The results demonstrated that the developmental period, preadult time, adult longevity, adult preoviposition period, and total preoviposition period were significantly reduced when the temperature was elevated from 16 to 32 degrees C. The developmental threshold temperatures of egg, nymph, preoviposition period, female adult, male adult, and generation were 9.14, 10.44, 12.53, 10.97, 12.47, and 10.58 degrees C, respectively, with the corresponding effective accumulated temperatures of 452.31, 575.99, 169.58, 528.13, 340.81, and 1447.95 degree-days.With an increase in temperature, the intrinsic rate of increase (r) and finite rate of increase (lambda) were increased, while the mean generation time (T) was shortened. The optimal values of net reproductive rate (R-0 = 73.00 offspring) and fecundity (244.55 eggs) were determined at 24 degrees C. Similarly, the population trend index (l) of A sinensis was found to be highest at 24 degrees C. Our findings indicate that A. sinensis has the greatest rate of population growth at 24 degrees C, which can provide a scientific basis for predicting the in-field population dynamics of A. sinensis.",yes,experimental,laboratory,rm,20,0.0243,0.0012,Euler-Lotka,bootstrap,36,NA,Orthoptera,Pyrgomorphidae,Atractomorpha,sinensis,chewer,soybean,Fabaceae,bean,Fabaceae,70,yes,16,Jinan (China),36.67087,116.98538,NA,10.1093/jee/toaa145,JOURNAL OF ECONOMIC ENTOMOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0022-0493,1938-291X,2020,NA,WOS:000593071900055,Effects of Temperature on the Development and Fecundity of Atractomorpha Sinensis (Orthoptera: Pyrgomorphidae)
J,1,"Li, WB; Gao, Y; Cui, J; Shi, SS","Over the recent years, Atractomorpha sinensis I. Bolivar, has emerged as an important agricultural pest in China. However, the biological characteristics of A. sinensis remain largely unknown, which can hinder the prediction of its population dynamics.Thus, understanding the impact of temperature on the developmental period of A. sinensis is crucial to predict its population dynamics. The biological characteristics of A sinensis were systematically observed at five different temperatures (16, 20, 24, 28, and 32 degrees C) using the age-stage, two-sex life table method.The results demonstrated that the developmental period, preadult time, adult longevity, adult preoviposition period, and total preoviposition period were significantly reduced when the temperature was elevated from 16 to 32 degrees C. The developmental threshold temperatures of egg, nymph, preoviposition period, female adult, male adult, and generation were 9.14, 10.44, 12.53, 10.97, 12.47, and 10.58 degrees C, respectively, with the corresponding effective accumulated temperatures of 452.31, 575.99, 169.58, 528.13, 340.81, and 1447.95 degree-days.With an increase in temperature, the intrinsic rate of increase (r) and finite rate of increase (lambda) were increased, while the mean generation time (T) was shortened. The optimal values of net reproductive rate (R-0 = 73.00 offspring) and fecundity (244.55 eggs) were determined at 24 degrees C. Similarly, the population trend index (l) of A sinensis was found to be highest at 24 degrees C. Our findings indicate that A. sinensis has the greatest rate of population growth at 24 degrees C, which can provide a scientific basis for predicting the in-field population dynamics of A. sinensis.",yes,experimental,laboratory,rm,24,0.0428,0.002,Euler-Lotka,bootstrap,30,NA,Orthoptera,Pyrgomorphidae,Atractomorpha,sinensis,chewer,soybean,Fabaceae,bean,Fabaceae,70,yes,16,Jinan (China),36.67087,116.98538,NA,10.1093/jee/toaa145,JOURNAL OF ECONOMIC ENTOMOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0022-0493,1938-291X,2020,NA,WOS:000593071900055,Effects of Temperature on the Development and Fecundity of Atractomorpha Sinensis (Orthoptera: Pyrgomorphidae)
J,1,"Li, WB; Gao, Y; Cui, J; Shi, SS","Over the recent years, Atractomorpha sinensis I. Bolivar, has emerged as an important agricultural pest in China. However, the biological characteristics of A. sinensis remain largely unknown, which can hinder the prediction of its population dynamics.Thus, understanding the impact of temperature on the developmental period of A. sinensis is crucial to predict its population dynamics. The biological characteristics of A sinensis were systematically observed at five different temperatures (16, 20, 24, 28, and 32 degrees C) using the age-stage, two-sex life table method.The results demonstrated that the developmental period, preadult time, adult longevity, adult preoviposition period, and total preoviposition period were significantly reduced when the temperature was elevated from 16 to 32 degrees C. The developmental threshold temperatures of egg, nymph, preoviposition period, female adult, male adult, and generation were 9.14, 10.44, 12.53, 10.97, 12.47, and 10.58 degrees C, respectively, with the corresponding effective accumulated temperatures of 452.31, 575.99, 169.58, 528.13, 340.81, and 1447.95 degree-days.With an increase in temperature, the intrinsic rate of increase (r) and finite rate of increase (lambda) were increased, while the mean generation time (T) was shortened. The optimal values of net reproductive rate (R-0 = 73.00 offspring) and fecundity (244.55 eggs) were determined at 24 degrees C. Similarly, the population trend index (l) of A sinensis was found to be highest at 24 degrees C. Our findings indicate that A. sinensis has the greatest rate of population growth at 24 degrees C, which can provide a scientific basis for predicting the in-field population dynamics of A. sinensis.",yes,experimental,laboratory,rm,28,0.0476,0.0028,Euler-Lotka,bootstrap,20,NA,Orthoptera,Pyrgomorphidae,Atractomorpha,sinensis,chewer,soybean,Fabaceae,bean,Fabaceae,70,yes,16,Jinan (China),36.67087,116.98538,NA,10.1093/jee/toaa145,JOURNAL OF ECONOMIC ENTOMOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0022-0493,1938-291X,2020,NA,WOS:000593071900055,Effects of Temperature on the Development and Fecundity of Atractomorpha Sinensis (Orthoptera: Pyrgomorphidae)
