Publication Type,Authors,Article Title,Abstract,Filter,Approach,Subapproach,Lab_response,Monitoring_method,Source Title,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,,ISSN,eISSN,Year,DOI,UT (Unique WOS ID)
J,"Pathak, TB; Maskey, ML; Rijal, JP","Impact of climate change on navel orangeworm, amajor pest of tree nuts in California","California's agricultural sector is the highest valued agricultural sector in the United States. It is also a global leader in the production of various specialty crops, including three major tree nuts - almond, walnut, and pistachio. These three nut crops accounted for approximately 16% of the state's total agricultural economy. Current and future changes in climate posemany challenges in agriculture and impacts related to increased pest pressure in agriculture due to elevated temperatures are significant. The navel orangeworm, Amyelois transitella (Walker), is the most challenging pest of tree nuts in California and often cause a significant economic loss despite the careful implementation of multiple pest control tactics. Temperature variations can directly affect the developmental rates, behavior, and overall population dynamics of this pest, and it is critically important to understand these dynamics with respect to climate change. The objective of this study was to quantify changes in the timing and number of navel orange worm generations in almonds, walnuts, and pistachios for the entire Central Valley of California using projections from ten general circulation models (GCMs) under two emission scenarios. The results suggest that navel orangeworm is likely to complete its life cycle much faster under climate change due to projected temperature increases. The results also suggest that under future climate change, navel orangeworm can complete one additional generation within the growing season and likely going to pose significant risks to these major nut industries in the future. Quantifying navel orangeworm generations and assessing risks to tree nuts under climate change can help facilitate and strategize integrated pest management (IPM) practices to the sustainability of the production systems by minimizing risks. (C) 2020 The Authors. Published by Elsevier B.V.",no,,,,,SCIENCE OF THE TOTAL ENVIRONMENT,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0048-9697,1879-1026,2021,10.1016/j.scitotenv.2020.142657,WOS:000600537400111
J,"Li, YY; Liu, MX; Yuan, JG; Okonkwo, TT; Chen, HQ; Liu, H",Evaluation of a philic egg-consumption predatory thrips Scolothrips takahashii for control of the citrus red mite Panonychus citri,"Panonychus citri is a major pest mite that is of great economic importance in most citrus orchards in China. Utilizing native predatory natural enemies is one of the useful biological control strategies to maintain pest population below the level where damage occurs for an extended period of time. Although a handful of pesticides and predatory natural enemy species have proven effective on the integrated control of the citrus red mite, they are not hard-hitting tactics for control of the P. citri eggs due to the protection of egg-shell. This study evaluated the potential of a native species of philic egg-consumption predatory thrips, Scolothrips takahashii, for control of P. citri in southwestern Chinese citrus orchards. An age-stage, two sex life table of S. takahashii was constructed, showing this predatory thrips could develop and reproduce successfully when fed on all stages of P. citri. All the functional responses of S. takahashii adult males and females on different stages of P. citri fit the Holling II disc equation, whereas this predatory thrips preferred eggs of P. citri significantly more than their larvae or nymph. Mutual interference results indicated that the searching efficiency and predation rate of S. takahashii decreased significantly with increased predator densities when supplied with sufficient P. citri eggs. Overall, this study indicated the potential of S. takahashii as a biological control agent of P. citri and helped to characterize the role of native predatory thrips in pest mite management.",no,,,,,CROP PROTECTION,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0261-2194,1873-6904,2021,10.1016/j.cropro.2020.105421,WOS:000600888500002
J,"Gao, L; Li, Y; Wang, ZX; Zhao, J; Hulcr, J; Wang, JG; Li, YZ; Ju, RT","Biology and associated fungi of an emerging bark beetle pest, the sweetgum inscriber Acanthotomicus suncei (Coleoptera: Curculionidae)","The sweetgum inscriber (SI) Acanthotomicus suncei Cognato is an emerging bark beetle pest that seriously damages American sweetgum trees (Liquidambar styraciflua) and Chinese sweetgum trees (L. formosana) in China. Since 2013, SI has killed more than 30,000 sweetgum trees in Shanghai and adjacent areas. In Shanghai, SI was observed to emerge from infested wood between April-September and exhibited two generations per year. Both the flying populations and those in colonized logs were female-biased. After the parental adult initiates a gallery, the emergence of new adults required 73.4 +/- 0.7 days at 30 degrees C and 163.5 +/- 0.9 days at 20 degrees C. SI could not sustain population development at constant temperatures <= 15 degrees C. The fungi Geosmithia spp. and Phaeoacremonium tuscanum were common associates of SI. The results suggest that SI has a long flight period, and its development is sensitive to low temperatures. Fungi associated with SI were not pathogenic to American sweetgum trees, but their presence may indirectly increase the probability of tree mortality. Our findings contribute to the prevention and control of this important emerging bark beetle pest.",no,,,,,JOURNAL OF APPLIED ENTOMOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0931-2048,1439-0418,NA,10.1111/jen.12861,WOS:000608550800001
J,"Shintani, Y; Takahashi, YY; Nakagawa, K; Mineshima, YK","Photoperiodic induction of reproductive diapause and life-history traits of a tortoise beetle, Laccoptera nepalensis (Coleoptera: Chrysomelidae), a range-expanding pest of southern origin","The tortoise beetle, Laccoptera nepalensis Boheman (Coleoptera: Chrysomelidae), is an important insect pest of the sweet potato, and is naturally distributed in southern to eastern Asia. The species has recently been expanding its range to the main islands of Japan, where it had previously not been distributed. In this study, the life-history traits of a local population in southern Kyushu, Japan were examined. The adults showed a long-day photoperiodic response at 20 and 25 degrees C with critical photophases of 13.97 and 12.52 h/day, respectively: female adults reared under long-day conditions laid eggs, whereas those reared under short-day conditions did not and entered diapause. When adults that had been reared under 16L-8D at 20 degrees C were transferred to 12L-12D at 20 degrees C, they ceased laying eggs. These results, together with the developmental threshold temperature and thermal constant obtained for each stage, suggest that the beetle overwinters in the adult stage in a state of diapause and produces a maximum of three generations per year in southern Kyushu.",no,,,,,APPLIED ENTOMOLOGY AND ZOOLOGY,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0003-6862,1347-605X,2021,10.1007/s13355-020-00716-4,WOS:000607013500001
J,"Brahmi, H; Lazraq, A; Boulamtat, R; El Fakhouri, K; Bassi, FM; El Bouhssini, M",Effect of temperature on the expression of resistance to Hessian fly (Diptera: Cecidomyiidae) in durum wheat cultivars,"Hessian fly, Mayetiola destructor (Say) is a destructive insect pest occurring in many wheat growing areas of the world. The most effective management option for controlling Hessian fly is the use of resistant wheat cultivars carrying specific resistance genes. However, wheat resistance genes to Hessian fly are affected by temperature. Two Moroccan cultivars 'Chaoui' and 'Marouane' and three ICARDA elites DWHF01, DWHF02 and Icamoram7 all carrying resistance to Moroccan Hessian fly populations were evaluated at three different temperatures (20, 25 and 30 degrees C). Results showed that the elite DWHF01 and DWHF02 resistance was less affected by higher temperatures with percentage of resistant plants remaining above 60% at 30 degrees C. However, 'Marouane', 'Icamoram7' and 'Chaoui' lost more than 50% of their resistance at 30 degrees C. Resistance in all these genotypes was expressed only as antibiosis with presence of dead first instars on resistant plants. The number of live larvae on susceptible plants was counted and larval density decreased with increasing temperature. Moreover, length measurements of live larvae showed significant differences across different temperatures, the size of larvae increased as temperature increased and ranged between 3.23 and 4.13 mm. In light of the warming climates and increase occurrence of days above 30 degrees C during the first months of the Moroccan wheat season, the data presented here are meant to help breeders recommend cultivars better adapted to the raising temperatures.",yes,experimental,laboratory,abundance,,PHYTOPARASITICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0334-2123,1876-7184,NA,10.1007/s12600-020-00877-6,WOS:000605854400001
J,"Rao, MS; Sreelakshmi, P; Deekshita, K; Vanaja, M; Srinivas, I; Maheswari, M; Srinivas, K; Reddy, KS; Bhaskar, S; Chary, GR",Interactive effects of temperature and CO2 on efficacy of insecticides against Spodoptera litura Fab. in a global warming context,"Influence of two dimensions of climate change i.e., elevated temperature (eTemp) and elevated CO2 (eCO(2)) on toxicity of insecticides against Spodoptera litura Fab. on peanut using CO2 Temperature Gradient Chambers (CTGC) facility was investigated. The insecticides viz., diamides (flubendiamide), avermectins (emamectin benzoate), organophosphates (quinalphos), spinosyns (spinosad) and synthetic pyrethroids (deltamethrin) were tested for their efficacy and persistence toxicity (PT) at eTemp and eCO(2). The twelve set conditions comprising of reference (28 +/- 0.5 degrees C; 380 ppm), eTemp (29, 30, 31, 32, 34 +/- 0.5 C-o with 380 ppm CO2), eCO(2) (28 +/- 0.5 C-o; 550 ppm) and eTemp+eCO(2) (29, 30, 31, 32, 34 +/- 0.5 (o)c with 550 ppm CO2) were maintained in CTGC. Interactive effects of eCO(2) and eTemp caused the higher LC50 values of spinosad and deltamethrin with negative temperature coefficients and showed the 'reduction of toxicity'. Lower LC50 values and positive temperature coefficients for flubendiamide (6.67), emamectin benzoate (7.38) and quinalphos (3.04) were recorded, indicating the 'higher toxicity' at interactive eCO(2) and eTemp. The order in PT of insecticides was deltamethrineTemp + eCO(2) conditions over reference. Present results indicate the negative impact of eTemp and eCO(2) on efficacy of spinosad and deltamethrin necessitating their higher requirement than was needed to achieve equal control at reference/ambient temperature and CO2.",no,,,,,PHYTOPARASITICA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,0334-2123,1876-7184,NA,10.1007/s12600-020-00854-z,WOS:000605854400003
J,"Chandi, RS; Kataria, SK; Fand, BB","Effect of temperature on biological parameters of cotton whitefly, Bemisia tabaci (Gennadius) (Hemiptera: Aleyrodidae)","The whitefly, Bemisia tabaci is a highly polyphagous and most damaging insect pest of cotton and many other economically important crops throughout the world. Recently in India, whitefly threat is increasing in cotton crop. North Indian cotton growing belt experienced severe outbreak of this pests during 2014-15 causing huge yield losses. With the changing climate scenario and the polyphagous trait of B. tabaci, its infestation may quickly spread over other regions of the world. In the present study, a temperature-based phenology model is developed for B. tabaci by rearing it on cotton leaves under laboratory conditions (growth chamber) at six constant temperatures (15-37 degrees C). The developmental rates and survivorship of immature life stages and reproductive parameters of adult life stages of B. tabaci were estimated by fitting various non-linear mathematical equations to the temperature-dependent development data obtained in laboratory. A cohort updating and rate summation approach was employed in stochastic simulation of life table parameters at different test temperatures. The study revealed that development time decreased with increase in temperature within the evaluation range of temperatures. The life cycle of B. tabaci was shortest at 32 degrees C with the shortest mean development time (30 days) and the longest development time (63 days) was obtained at 17 degrees C. The optimum developmental temperatures predicted for various immature life stages of B. tabaci were: 20.4, 18.03, 26.83, 26.83 and 22.93 degrees C for egg, nymph1, nymph2, nymph3 and pseudopupa, respectively. Wang model fits well to estimate temperature-dependent mortality of B. tabaci life stages. The mortality was lower at 32 degrees C and higher at 37 degrees C. The favourable temperature range that supported optimum reproductive fitness of B. tabaci was observed to be 22-32 degrees C.",no,,,,,INTERNATIONAL JOURNAL OF TROPICAL INSECT SCIENCE,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1742-7584,1742-7592,NA,10.1007/s42690-020-00397-0,WOS:000605509000001
J,"Fang, L; Yu, Y; Fang, GF; Zhang, X; Yu, ZJ; Zhang, XD; Crocker, E; Yang, J",Effects of meteorological factors on the defoliation dynamics of the larch caterpillar (Dendrolimus superans Butler) in the Great Xing'an boreal forests,"Larch caterpillars are widely distributed in the Great Xing'an boreal forests; however, the relationship between caterpillar defoliation dynamics and climatic factors is poorly understood. The aims of this study are to investigate the primary weather conditions that might influence forest defoliation and to identify the most important life stage of the larch caterpillar at which forest defoliation might be mitigated by incorporating more inhibitory influences from climatic factors. The life cycle of the larch caterpillar was partitioned into four stages and multiple linear regression and mixed effect models were combined with a relative weight analysis approach to evaluate the importance and influence of meteorological variables on defoliation dynamics. The results show that warmer temperatures in growing seasons and overwintering periods can increase the defoliation area, while rainy and humid growing seasons decrease the defoliation area. Total precipitation during the early instar larval period had the greatest power to explain the variance in defoliation dynamics and had a very strong inhibitory effect, followed by the accumulative temperatures of the late instar larval period which had a positive impact, and precipitation during the middle instar larval period which had a negative impact. Weather conditions during the early instar larval period had the greatest influence on the area defoliated and accounted for 40% of the explained variance. This study demonstrates that climatic warming and drying will increase the risk of larch caterpillar outbreaks in the Great Xing'an Mountains.",yes,field,damage,,defoliation degree,JOURNAL OF FORESTRY RESEARCH,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1007-662X,1993-0607,NA,10.1007/s11676-020-01277-6,WOS:000605570900001
J,"Moreno-Delafuente, A; Vinuela, E; Fereres, A; Medina, P; Trebicki, P",Combined effects of elevated CO2 and temperature on multitrophic interactions involving a parasitoid of plant virus vectors,"Atmospheric concentration of carbon dioxide (CO2) is predicted to double by late twenty-first century, likely increasing global temperature by 2.2 degrees C. Elevated CO2 (eCO(2)) and temperature (eT) affect agricultural crops as well as pests and their natural enemies. Changes in any part of multitrophic systems due to environmental factors can affect pest infestation and disease dynamics, as well as the effectiveness of biological control programs. Our study evaluated the effects of eCO(2) and eT combined on the performance of the parasitoid Aphidius colemani Vierick (Hymenoptera: Braconidae) when its aphid host Rhopalosiphum padi L. (Hemiptera: Aphididae) was exposed to non-infected or Barley yellow dwarf virus (BYDV-PAV) infected wheat (Triticum aestivum L., Poaceae). Using controlled environment chambers, plant physiology and parasitoid performance were examined under ambient (aCO(2)& aT; aCO(2) = 400 ppm, aT = 20 degrees C) and elevated (eCO(2)& eT; eCO(2) = 800 ppm, eT = 22 degrees C) conditions. Virus infection reduced plant biomass and chlorophyll content more pronouncedly under eCO(2)&eT. Developmental time from oviposition to adult emergence of A. colemani significantly decreased under eCO(2)&eT, on virus-infected and non-infected plants. However, parasitism rate, sex ratio and pupal survivorship remained unchanged under eCO(2)&eT, regardless of virus infection. Therefore, we incline to suggest that the biocontrol of R. padi by A. colemani will continue being effective in a future climate with similar conditions as studied here. This study provides empirical data on a particular tritrophic system (plant-pest-parasitoid) affected by plant virus and eCO(2)&eT, essential to complement scientific knowledge about the impact of climate change on complex interactions of agro-ecosystems.",no,,,,,BIOCONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,,1386-6141,1573-8248,NA,10.1007/s10526-020-10069-0,WOS:000604566800002
J,"Almarinez, BJM; Fadri, MJA; Lasina, R; Tavera, MAA; Carvajal, TM; Watanabe, K; Legaspi, JC; Amalin, DM","A Bioclimate-Based Maximum Entropy Model for Comperiella calauanica Barrion, Almarinez and Amalin (Hymenoptera: Encyrtidae) in the Philippines","Simple Summary The discovery of Comperiella calauanica a parasitoid confirmed to be the major natural enemy of the invasive diaspidid, Aspidiotus rigidus, has led to the promise of biological control in sustainable pest management of this devastating coconut pest. In this study, we employed Maximum Entropy (Maxent) to develop a bioclimate-based species distribution model (SDM) for the parasitoid from presence-only data recorded from field surveys conducted in select points the Philippines. Results of assessment of the generated model point to its excellent power in predicting either suitability of habitat, or potential occurrence or distribution of C. calauanica. Since the parasitoid is highly host-specific, the model may also apply to A. rigidus. Field surveys in select areas in the Philippines confirmed the occurrence of the invasive coconut scale in areas predicted by the model as having considerable probability of occurrence, or habitat suitability. Our findings strongly suggest the potential utility of Maxent SDMs as tools for pest invasion forecasting and GIS-aided surveillance for integrated pest management (IPM). Comperiella calauanica is a host-specific endoparasitoid and effective biological control agent of the diaspidid Aspidiotus rigidus, whose outbreak from 2010 to 2015 severely threatened the coconut industry in the Philippines. Using the maximum entropy (Maxent) algorithm, we developed a species distribution model (SDM) for C. calauanica based on 19 bioclimatic variables, using occurrence data obtained mostly from field surveys conducted in A. rigidus-infested areas in Luzon Island from 2014 to 2016. The calculated the area under the ROC curve (AUC) values for the model were very high (0.966, standard deviation = 0.005), indicating the model's high predictive power. Precipitation seasonality was found to have the highest relative contribution to model development. Response curves produced by Maxent suggested the positive influence of mean temperature of the driest quarter, and negative influence of precipitation of the driest and coldest quarters on habitat suitability. Given that C. calauanica has been found to always occur with A. rigidus in Luzon Island due to high host-specificity, the SDM for the parasitoid may also be considered and used as a predictive model for its host. This was confirmed through field surveys conducted between late 2016 and early 2018, which found and confirmed the occurrence of A. rigidus in three areas predicted by the SDM to have moderate to high habitat suitability or probability of occurrence of C. calauanica: Zamboanga City in Mindanao; Isabela City in Basilan Island; and Tablas Island in Romblon. This validation in the field demonstrated the utility of the bioclimate-based SDM for C. calauanica in predicting habitat suitability or probability of occurrence of A. rigidus in the Philippines.",no,,,,,INSECTS,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,2075-4450,2021,10.3390/insects12010026,WOS:000610284600001
