study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.439169253158842e-5,8.497647892880876e-6,3.351749757808665,1.3122703751149765,33.51246942670436,0.448633800412409,27.167185920542437,0.34441366064003953,8e-5,4,33.5
2,3.560409235065165e-5,4.6824281216347674e-6,10.701335350878564,0.8394999798744044,36.094494775632356,1.3899373764726937,30.17637450714629,1.0267441040515433,4e-5,12,35.5
3,3.103646980387545e-4,2.5145709873792117e-5,12.691532657263169,0.12803959018692743,28.495516923529756,0.7178623101068001,24.508976853048548,0.5583259720872767,3.2e-4,13,28.5
4,8.133104873018356e-5,2.0377825805770183e-5,8.794887192626424,1.703917033926429,37.21580643441271,3.1196029386763042,30.798623608341835,2.309927604557266,1.1e-4,11,34.5
5,2.437588948529397e-4,1.613266427434066e-5,5.5262728712673725,0.39449733103705353,33.000481839725396,0.8448420424850601,27.015973828889322,0.6372296037724993,2.6000000000000003e-4,6,32.5
6,1.408745363332807e-4,6.983527008070719e-5,13.56926798294407,4.125779914717286,33.59678350034947,2.182126021266546,28.6552943264102,1.1723183694247457,1.5000000000000001e-4,14,33.5
7,1.1695445786349635e-4,1.5625920220291707e-6,16.424548674811508,0.08577672537983813,33.260824299382286,0.019009099860046993,28.903014146387942,0.018587283405135144,1e-4,15,33.5
9,8.951633018399599e-5,5.144719566820568e-5,-1.9663421364905116,8.591294015139399,38.44717388757028,6.226239769407432,30.567232395540703,4.2887885870288045,8e-5,-4,39.5
11,3.25320351067586e-4,7.01018626310349e-5,14.010834020508911,1.4561087298006832,30.087719971135737,0.5359286557233884,25.988312917342295,0.4497120681079697,1.6e-4,8,30.5
12,2e-5,1.4245146831547196e-5,-3,13.473325582048588,30.5,2.5528632656562054,24.117566071606575,1.4407655923435614,2e-5,-3,30.5
16,8.865663817228803e-5,7.689613770113293e-6,12.848483240764173,0.5227425007195663,34.48989046161121,0.7204321677613966,29.238558770644893,0.5077365134676688,9e-5,13,34.5
17,5.826759792934519e-4,1.754202380761108e-5,17.678839907544347,0.12702685344192527,30.226047418287152,0.03790315017584521,26.817930155036585,0.0348100627783531,4.8000000000000007e-4,17,30.5
18,1.3372904101752173e-4,5.2151244848681475e-6,16.19060660198922,0.3175981454969501,39.027321782563384,0.19922727742936372,33.359702910337504,0.13159462034793232,1.5000000000000001e-4,17,38.5
19,3.1997632727875843e-4,6.203807483295425e-5,19.113797689193486,0.6940700693595943,28.98537894101075,0.6215427965424394,26.19741695748623,0.41404322985156855,2e-4,18,30.5
20,9.201602042077031e-5,1.4220999219866843e-5,8.428229766682364,1.084957765135876,28.183685887234237,0.6056086653559092,23.57323830181949,0.4002148302975294,5e-5,4,30.5
22,1.6643592666281553e-4,3.4874508871804963e-6,8.747806783572505,0.11362797102697722,33.690449600591684,0.22270483848121683,27.98916297655375,0.1709052790828959,1.7e-4,9,33.5
23,7.334487702611144e-5,5.928500165600647e-6,8.974273626243177,0.8810722546604668,34.07733689897691,0.2681265021591243,28.3282020592533,0.18775979549095878,6e-5,6,34.5
24,8.39611273051006e-5,5.347792479094059e-6,6.266309162086887,0.4420012198470928,45.60310963874968,1.5146252044573942,37.16680657459987,1.1650642236753517,9e-5,7,44.5
25,2.92151283505702e-5,7.354505998752064e-6,1.5235047884018922,4.149148856402515,29.17909087041134,0.5853672781045188,23.50072689442507,0.28080177621974595,3.0000000000000004e-5,3,29.5
27,2.540609989991614e-4,1.1619438479103451e-5,16.964007840690073,0.14285437826424494,33.49529164278972,0.3256990856579901,29.187562377147678,0.23891736860803237,2.5000000000000006e-4,17,33.5
28,1.0920473072861056e-4,8.43347475752562e-6,15.37384457316253,0.3687837453691711,34.38325743985474,0.4179149762540468,29.583693488659822,0.291309262415767,8e-5,14,35.5
29,2.1231633057527334e-4,9.745411007264369e-5,16.928134214108947,3.011522869802625,36.50898913688896,0.801572219947018,31.521415576050693,0.69196900071779055,2.1e-4,17,36.5
31,6.999702836290882e-5,1.7495192875051333e-6,8.79416007147653,0.34180308875008614,41.296027260930046,0.10671583571434527,34.04665662831768,0.07858387304447832,7.000000000000001e-5,9,41.5
32,8.299037209512028e-5,2.3185865041117624e-5,11.121164496610783,2.134087732292233,43.532502879295095,4.113498176282599,36.14034449111732,3.029483915404282,9e-5,12,42.5
33,1.8622964714632508e-4,1.1628332849512763e-5,13.015538279599562,0.3360781693064746,35.14441387991425,0.5150057495692152,29.78103098685561,0.37910588755511115,2.2e-4,14,34.5
34,8.535666507858826e-5,3.490532514890518e-6,9.158743134993498,0.3618225604098081,33.60704597540051,0.1410170504763796,27.98073690946555,0.1051347614157056,9e-5,10,33.5
35,5.8605911114357075e-5,2.6187599481702136e-6,7.474518895684518,0.21373894543114744,37.59909133763631,0.7494111538973126,30.92945376499261,0.579392185045524,6e-5,8,37.5
37,1.5313668368332128e-4,1.8456795608136445e-5,10.134892384089746,0.5059973249564796,37.24092252217014,2.1265835705813174,31.00423948241979,1.6592995924395166,1.5000000000000001e-4,10,37.5
38,5.012281144233371e-5,3.923003920227421e-5,7.240394350061842,9.555351327269257,35.61163770878864,4.083464795274565,29.315359679489053,2.6430000345714046,6e-5,9,34.5
39,6.03809115735563e-4,3.63107887774347e-5,22.23427233040962,0.2632605466410017,36.08489090822726,0.1369301423474713,32.26041785696604,0.08703759423606205,4.8000000000000007e-4,21,36.5
