study,a_est,a_se,Tmin_est,Tmin_se,Tmax_est,Tmax_se,Value,Topt_se,a,Tmin,Tmax
1,7.439169181905801e-5,8.497648514584887e-6,3.3517496529315043,1.3122704364090048,33.51246944323038,0.448633804902527,27.16718592185009,0.34441366285314085,8e-5,4,33.5
2,3.5604092092110345e-5,4.6824279597107705e-6,10.701335300526127,0.8394999796194681,36.094494831159125,1.3899373365275596,30.176374543787652,1.0267440744799285,4e-5,12,35.5
3,3.103646980787972e-4,2.5145709819507538e-5,12.691532657571267,0.1280395941118922,28.495516921841695,0.7178622916860588,24.508976851785043,0.5583259577342659,3.2e-4,13,28.5
4,8.13310429802232e-5,2.037782483952051e-5,8.7948867187462465,1.703917080289772,37.215807205308856,3.1196033492699002,30.79862415752273,2.3099279340594574,1.1e-4,11,34.5
5,2.4375889194814905e-4,1.61326649640337e-5,5.526272801649882,0.3944973611673027,33.000481973036365,0.8448420899117943,27.01597392664589,0.6372296381911828,2.6000000000000003e-4,6,32.5
6,1.4087453245800922e-4,6.983527981190989e-5,13.569267748184986,4.125780623476764,33.596783604882354,2.18212643896489,28.655294368918057,1.1723185654991815,1.5e-4,14,33.5
7,1.1695445737026456e-4,1.5625920017655987e-6,16.42454865101741,0.08577672668825112,33.26082430193606,0.0190090997498639,28.90301414386733,0.018587283563616195,1e-4,15,33.5
9,8.951636291413273e-5,5.144718596901263e-5,-1.96633657644881,8.591288111672993,38.44717032104641,6.226234568238067,30.56723006466611,4.288784862981978,8e-5,-4,39.5
11,3.253203528767884e-4,7.010186160328462e-5,14.010834047964815,1.456108711710546,30.087719953358476,0.5359286022427324,25.988312908507112,0.44971203622314426,1.6e-4,8,30.5
12,2e-5,1.424514639030303e-5,-3,13.473325204459675,30.5,2.5528631883940998,24.117566071606575,1.4407655818314626,2e-5,-3,30.5
16,8.865663759792355e-5,7.689613351718565e-6,12.848483200520768,0.5227424764519597,34.4898905041139,0.7204321494898993,29.238558797609574,0.507736503942401,9e-5,13,34.5
17,5.82675979292748e-4,1.7542024084693986e-5,17.678839907541654,0.1270268545933535,30.226047418291095,0.03790315031662263,26.817930155039015,0.034810062813085664,4.8000000000000007e-4,17,30.5
18,1.3372904174763502e-4,5.215124456450488e-6,16.190606644416906,0.31759813919228136,39.0273217617304,0.19922727349153677,33.35970290125497,0.13159461815718715,1.5e-4,17,38.5
19,3.199763281578277e-4,6.203807163414918e-5,19.113797698315686,0.6940700605265211,28.985378934205183,0.6215427501532735,26.197416954499698,0.4140432056943863,2e-4,18,30.5
20,9.20160200410656e-5,1.4220999179229958e-5,8.428229732594088,1.0849577702317645,28.183685895713538,0.6056086761430172,23.573238303532268,0.400214836651788,5e-5,4,30.5
22,1.6643592754182757e-4,3.4874508897232278e-6,8.747806804859662,0.11362797005486767,33.69044955207673,0.22270483812163558,27.989162940976165,0.17090527882586937,1.7e-4,9,33.5
23,7.334487740353849e-5,5.928499726369202e-6,8.974273686361979,0.8810722079177078,34.077336891612745,0.2681264933894947,28.32820206183154,0.1877597946641795,6e-5,6,34.5
24,8.396112291278568e-5,5.3477934392403205e-6,6.266308797189146,0.44200130066014776,45.60311079826843,1.5146256630252708,37.16680745720127,1.1650645801084454,9e-5,7,44.5
25,2.9215112488873004e-5,7.354511159364598e-6,1.523495766244954,4.149155590788517,29.17909190840027,0.5853678119880942,23.500726761169926,0.280801943489824,3.0000000000000004e-5,3,29.5
27,2.5406099899602904e-4,1.1619438241992968e-5,16.964007840654634,0.1428543749449742,33.49529164285495,0.32569908249168894,29.18756237719136,0.23891736681011727,2.5000000000000006e-4,17,33.5
28,1.0920473082145219e-4,8.433474413295665e-6,15.373844576942416,0.3687837338610251,34.38325743608921,0.4179149637036288,29.583693486393223,0.29130925549662373,8e-5,14,35.5
29,2.1231633084629504e-4,9.745411298494237e-5,16.92813422740204,3.0115229050802106,36.50898913679212,0.8015722260071995,31.521415578394443,0.6919690001070548,2.1e-4,17,36.5
30,1.60744863911362e-5,2.2784207050416536e-5,16.714301384206014,2.148909012332467,77.80811780714431,121.34921752211676,64.16820443800673,96.38560989785114,3.0000000000000004e-5,18,46.5
31,6.999702847241816e-5,1.7495192667167973e-6,8.794160091628859,0.34180308644375074,41.29602725723642,0.10671583686953766,34.04665662802135,0.07858387265659236,7.000000000000001e-5,9,41.5
32,8.299037470716505e-5,2.3185864002784556e-5,11.12116473256536,2.1340874640337733,43.5325024525776,4.113497883228309,36.14034418472629,3.0294837118178264,9e-5,12,42.5
33,1.86229649626593e-4,1.1628332722639885e-5,13.01553834040049,0.33607816253691025,35.144413787993116,0.5150057334288406,29.78103092425345,0.3791058753542929,2.2e-4,14,34.5
34,8.535666486216199e-5,3.490532441351241e-6,9.158743113499469,0.36182255521141893,33.60704597997639,0.14101705053528465,27.980736910048847,0.10513476168415471,9e-5,10,33.5
35,5.8605910652732996e-5,2.6187599456463116e-6,7.4745188632064705,0.2137389473605226,37.59909146180913,0.7494111721078055,30.929453859770906,0.5793921995218435,6e-5,8,37.5
37,1.5313668413325344e-4,1.8456796121888988e-5,10.134892397422538,0.5059973263064674,37.24092248440479,2.126583596729723,31.00423945432714,1.6592996122598516,1.5e-4,10,37.5
38,5.012282488335603e-5,3.923003142867528e-5,7.240397277346022,9.55534591034093,35.6116362891179,4.083461869062463,29.31535892776109,2.6429982924068063,6e-5,9,34.5
39,6.038091157355629e-4,3.6310788602743785e-5,22.234272330409624,0.2632605458330144,36.084890908227266,0.13693014049261845,32.26041785696606,0.08703759358091043,4.8000000000000007e-4,21,36.5
40,2.466764940149644e-4,1.5265268643996107e-5,7.350666483139924,0.597460041124011,30.04459471960771,0.08686950395107992,24.898040738211268,0.09966186766179855,1.2e-4,-4,30.5
42,3.7842416974850674e-4,1.1213667488912866e-4,6.155350174391961,2.179486767355359,27.017091517528996,1.2067243610784253,22.32761977596799,0.8030970654972697,3.3000000000000005e-4,5,27.5
43,1.3993870051899162e-4,1.528702086176618e-5,17.84105987836032,0.6129127883794444,37.973748947889675,0.5863000502497171,32.82878203524912,0.40850797747265877,1.2e-4,17,38.5
44,1.2567376881102653e-4,3.47331722256164e-5,13.66245369633961,2.001979170172123,33.61197053478387,1.020532146125736,28.68293405742571,0.6856588836336501,1.3000000000000002e-4,14,33.5
45,1.4580951082356902e-4,5.814185589103718e-6,6.8790633857172185,0.4094172423497175,31.422373990512952,0.1815481713449142,25.931004318656033,0.1258304642847384,1.4e-4,6,31.5
46,1.6504408030824238e-4,5.752128291749106e-6,12.031000323770593,0.31087537426015527,38.22164248559835,0.17225703594417638,32.05831213899633,0.12994717113227794,1.6e-4,12,38.5
