a,Tmin,Tmax
8e-5,4,33.5
4e-5,12,35.5
3.2e-4,13,28.5
1.1e-4,11,34.5
2.6000000000000003e-4,6,32.5
1.5000000000000001e-4,14,33.5
1e-4,15,33.5
2.5000000000000006e-4,20,35.5
8e-5,-4,39.5
7.000000000000001e-5,-3,33.5
1.6e-4,8,30.5
2e-5,-3,30.5
1.1e-4,16,35.5
1e-4,-2,30.5
9e-5,13,34.5
4.8000000000000007e-4,17,30.5
1.5000000000000001e-4,17,38.5
2e-4,18,30.5
5e-5,4,30.5
6e-5,9,46.5
1.7e-4,9,33.5
6e-5,6,34.5
9e-5,7,44.5
3.0000000000000004e-5,3,29.5
8e-5,19,33.5
2.5000000000000006e-4,17,33.5
8e-5,14,35.5
2.1e-4,17,36.5
3.0000000000000004e-5,18,46.5
7.000000000000001e-5,9,41.5
9e-5,12,42.5
2.2e-4,14,34.5
9e-5,10,33.5
6e-5,8,37.5
1.5000000000000001e-4,10,37.5
6e-5,9,34.5
4.8000000000000007e-4,21,36.5
1.2e-4,-4,30.5
7.000000000000001e-5,-4,27.5
3.3000000000000005e-4,5,27.5
1.2e-4,17,38.5
1.3000000000000002e-4,14,33.5
1.4000000000000001e-4,6,31.5
1.6e-4,12,38.5
2.2e-4,15,35.5
1.8e-4,17,30.5
1.4000000000000001e-4,9,32.5
2e-4,9,37.5
1.7e-4,11,37.5
1.9e-4,10,39.5
1.5000000000000001e-4,7,43.5
3.0000000000000003e-4,14,33.5
2.7000000000000006e-4,11,37.5
1.7e-4,10,38.5
1.8e-4,10,39.5
1.2e-4,5,46.5
3.1000000000000005e-4,7,28.5
