a,Tmin,Tmax
8e-5,4.5,33.5
8e-5,4.5,33.5
2.4000000000000003e-4,10,28.5
1.1000000000000002e-4,10.5,34.5
2.4e-4,5.5,33
1.3000000000000002e-4,13,34
1.3000000000000002e-4,13.5,33.5
1.6e-4,-4.5,32.5
1e-4,15.5,33.5
2.5e-4,20,35.5
1.8e-4,9,31
1.8e-4,13,38
1.2e-4,2,36
1.5000000000000001e-4,12.5,33
1.6999999999999999e-4,8.5,30.5
2.3e-4,15,35
3.1000000000000005e-4,19,30
4e-5,8.5,30
2.9e-4,18.5,33
8e-5,13.5,31
1.0999999999999999e-4,16,35.5
3.0000000000000004e-5,6.5,43
2.4000000000000003e-4,21.5,31
1.5000000000000001e-4,3.5,30
2.9999999999999997e-5,-5,32
5e-5,3,37.5
NA,NA,NA
8e-5,12.5,35.5
NA,NA,NA
NA,NA,NA
1.4000000000000001e-4,6,33.5
1.3000000000000002e-4,16,39
1.6e-4,18,25.5
2.7e-4,19,30
6e-5,13.5,37.5
6e-5,5.5,30
6e-5,9,46
1e-4,13,25.5
5e-5,3,28
1.6999999999999999e-4,9,33.5
7.000000000000001e-5,8,34
NA,NA,NA
1e-4,7.5,42
1e-5,6,30
NA,NA,NA
1e-5,12.5,36
8e-5,18,38
1e-4,14.5,27.5
9e-5,6,48
1.9e-4,11.5,32
1.2e-4,21,33
2.1e-4,16,34
2e-4,9.5,38.5
2.1e-4,15.5,34
6.000000000000001e-5,15,39.5
1e-4,7.5,43
1e-4,15,35
2.1e-4,17,36.5
8e-5,14.5,31
NA,NA,NA
1.1000000000000002e-4,0,25.5
1.7e-4,12.5,36
5e-5,18.5,36.5
1.1e-4,7,38
8e-5,10.5,41
1.8e-4,14,33.5
NA,NA,NA
9e-5,14,36
1.8e-4,0.5,32
1.1e-4,-5,29
1e-4,12.5,41.5
1.4000000000000001e-4,14,32.5
1.3000000000000002e-4,13,41
1.3000000000000002e-4,3.5,35
1.4000000000000001e-4,14.5,39.5
1.6e-4,10.5,38
2.1e-4,13.5,34.5
NA,NA,NA
2.2e-4,8.5,31
8e-5,10.5,34.5
1.1000000000000002e-4,10.5,34
NA,NA,NA
2e-4,10.5,39.5
5e-4,5,28
9e-5,9.5,33.5
8e-5,9.5,35
2.8000000000000003e-4,11,45
2.8000000000000003e-4,2,29
1.5e-4,13.5,26.5
1.1e-4,14,36
1.7e-4,10.5,36
6.000000000000001e-5,9,34.5
1.1000000000000002e-4,15.5,35.5
1.7e-4,8,41.5
4e-4,20,37
3.0000000000000004e-5,12.5,30.5
NA,NA,NA
2.4e-4,13,38
3.2e-4,14,33
2.7e-4,10,30
NA,NA,NA
NA,NA,NA
2.9e-4,5,28.5
9e-5,13.5,30
1.1000000000000002e-4,17,39
6.000000000000001e-4,5.5,29.5
8e-5,10,36.5
NA,NA,NA
1.2e-4,17.5,36
