a_est,a_se,tmin,tmin_se,tmax,tmax_se,topt,topt_se,start_a,start_tmin,start_tmax,id,authors,Year,title,DOI,vi,order,family,genus,species,feeding_guild,lat,sd_median,thermal_breadth...25,t50_left...26,t50_right...27,tsm,therm_range,thermal_breadth...30,t50_left...31,t50_right...32,therm_window,thermal_breadth...34,t50_left...35,t50_right...36
7.067891987942329e-5,7.520874347838394e-6,3.2467743569643943,1.2170398233666515,33.291753565986355,0.3520620803871201,26.97886779372946,0.2826937875690125,6e-5,1,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.7575,15.5342,33.2917,6.3128857722568945,30.04497920902196,17.7575,15.5342,33.2917,23.732093436765066,17.7575,15.5342,33.2917
7.870103505775362e-5,8.470287440864773e-6,3.5807924991310736,1.2428736896459769,33.35775492345191,0.35331260478704624,27.069644059809093,0.2818986709600037,8e-5,4,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.6825,15.6752,33.3577,6.288110863642814,29.776962424320832,17.6825,15.6752,33.3577,23.488851560678018,17.6825,15.6752,33.3577
7.475832332385446e-5,8.199841435010014e-6,4.370162177388085,1.223524040093597,33.266826478659524,0.3080749083053076,27.088821675475515,0.2569734866331854,7.000000000000001e-5,4,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.357600000000005,15.9092,33.2668,6.17800480318401,28.89666430127144,17.357600000000005,15.9092,33.2668,22.71865949808743,17.357600000000005,15.9092,33.2668
9.215594458990644e-5,8.922321669151376e-6,6.134322923387381,0.9338098079968492,33.33375230685056,0.31528312621076676,27.357891500500916,0.25353109464434015,9e-5,6,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,16.744699999999998,16.589000000000002,33.3337,5.9758608063496474,27.199429383463183,16.744699999999998,16.589000000000002,33.3337,21.223568577113536,16.744699999999998,16.589000000000002,33.3337
6.934157174918745e-5,7.987081543815335e-6,2.636406696221022,1.419189882717763,33.37436275714499,0.379083795608755,26.97667540802042,0.3013501335997896,7.000000000000001e-5,3,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.0047,15.3696,33.3743,6.397687349124574,30.73795606092397,18.0047,15.3696,33.3743,24.340268711799396,18.0047,15.3696,33.3743
7.63224978979102e-5,8.632289410900653e-6,3.238923138275464,1.316096137802662,33.527533737945184,0.44241876781812994,27.1664513183244,0.3390676869487545,8e-5,4,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,17.893600000000003,15.6339,33.5275,6.361082419620786,30.28861059966972,17.893600000000003,15.6339,33.5275,23.927528180048935,17.893600000000003,15.6339,33.5275
7.38248046364038e-5,7.997297888695685e-6,2.6959878568633333,1.2423140148054568,33.53149979452779,0.4824081150243352,27.10890594507035,0.3668840285812512,9e-5,5,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.074200000000005,15.4572,33.531400000000005,6.422593849457439,30.835511937664457,18.074200000000005,15.4572,33.531400000000005,24.412918088207018,18.074200000000005,15.4572,33.531400000000005
6.905526069325672e-5,9.119702801566316e-6,1.838739378866538,1.5920253856622455,33.91733117695133,0.69958608440469106,27.32414106043215,0.5157803250573887,9e-5,5,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.563700000000004,15.3536,33.917300000000004,6.593190116519178,32.078591798084794,18.563700000000004,15.3536,33.917300000000004,25.485401681565612,18.563700000000004,15.3536,33.917300000000004
5.7480956082336936e-5,8.604053015073105e-6,0.9998414814431512,1.9263978074860697,33.72115038019687,0.7124587178815097,27.078785049938308,0.5292333590249872,6e-5,1,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.7075,15.0136,33.7211,6.64236533025856,32.72130889875372,18.7075,15.0136,33.7211,26.078943568495156,18.7075,15.0136,33.7211
7.094810839966716e-5,8.07310012382609e-6,2.431396467131379,1.3894780182317956,33.719734321928314,0.4957595691182629,27.230289360059913,0.37025488549314967,8e-5,4,33.5,1,de Campos,2021,Thermal biology ofTuta absoluta:demographic parameters and facultative diapause,10.1007/s10340-020-01286-8,0.00789,Lepidoptera,Gelechiidae,Tuta,absoluta,borer,42.6391,0.04990074147745703,18.2657,15.454,33.7197,6.489444961868401,31.288337854796936,18.2657,15.454,33.7197,24.798892892928535,18.265700000000002,15.454,33.7197
